ID,Drzava,Ime,Kraj,Bancni racun,Panoga,Kontakt,Uporabnisko_ime,Geslo
1,Slovenia,Crooks and Sons,Dobje pri Planini,3541956941194691,Database Administrator IV,470-471-4755,crooksandsons,VPX5eX3P
2,Slovenia,Toy-Labadie,Trbovlje,6382250787890462,Database Administrator III,355-562-3684,toylabadie,nnGu85cH
3,Slovenia,"Blanda, Wisozk and Cummerata",Šentrupert,3549173256656353,Automation Specialist III,101-484-0611,blandawisozkandcummerata,rARZjQjP
4,Slovenia,Berge and Sons,Rakičan,5010123058766178,Human Resources Assistant IV,975-414-5809,bergeandsons,tQa3XdTj
5,Slovenia,Hoppe Inc,Černelavci,6.76747890118861E+017,Speech Pathologist,552-117-8804,hoppeinc,x2AUhYt4
6,Slovenia,"Metz, Kunde and King",Tabor,6.75978352422507E+018,Software Test Engineer I,536-844-4276,metzkundeandking,g8fcUJD6
7,Slovenia,"Zemlak, Rohan and Konopelski",Destrnik,3533843094782599,Financial Advisor,757-443-3721,zemlakrohanandkonopelski,nFjDS4gK
8,Slovenia,Schmeler-Moen,Celje,344904139566408,Quality Engineer,913-842-2501,schmelermoen,zgS9Yk84
9,Slovenia,Rodriguez Inc,Koper,3563742892470162,VP Quality Control,243-667-4780,rodriguezinc,3BwD8CGR
10,Slovenia,Windler-Goldner,Limbuš,3586894487730097,Product Engineer,175-850-2916,windlergoldner,QnJZGTkL
11,Slovenia,Koss-Hintz,Lavrica,3537211602870288,Legal Assistant,715-494-9418,kosshintz,jkZg9Q8L
12,Slovenia,Prohaska and Sons,Šoštanj,30431473438845,Help Desk Operator,453-497-2454,prohaskaandsons,AzG8sdBn
13,Slovenia,McKenzie-Harris,Laško,3557789735564113,VP Marketing,603-850-5324,mckenzieharris,NexBPVXN
14,Slovenia,Reynolds Group,Bakovci,4844286014124959,Associate Professor,854-360-8325,reynoldsgroup,PrxkSdyZ
15,Slovenia,Corkery Group,Gornji Grad,3571443423085377,GIS Technical Architect,661-287-4949,corkerygroup,arCwqZEw
16,Slovenia,Kulas and Sons,Poljčane,3581896791977574,Financial Advisor,921-681-6789,kulasandsons,UycvnAr7
17,Slovenia,Borer-Frami,Žalec,3538684204616623,Office Assistant I,381-215-3979,borerframi,8UrBW6Jp
18,Slovenia,"Reichert, Konopelski and Heller",Grosuplje,5002359866053579,Administrative Officer,753-725-2389,reichertkonopelskiandheller,kaFy9LnN
19,Slovenia,"Yundt, Walsh and Wolff",Bistrica ob Sotli,6397989144199629,Administrative Officer,341-976-7856,yundtwalshandwolff,6zcZavTJ
20,Slovenia,King LLC,Moravče,3579555388293514,Actuary,289-116-9626,kingllc,G8tYv57J
21,Slovenia,Larkin LLC,Radlje ob Dravi,6.75908207427836E+016,Automation Specialist I,355-337-2594,larkinllc,h7PAFJye
22,Slovenia,Hegmann-McLaughlin,Izlake,3541762780776980,Associate Professor,525-531-2215,hegmannmclaughlin,pttPursZ
23,Slovenia,Quitzon-Daniel,Pivka,5602229269761942,Data Coordiator,947-465-1767,quitzondaniel,g5wc76Gx
24,Slovenia,Kuhlman Inc,Bistrica ob Sotli,3555484662815769,Office Assistant III,689-531-8105,kuhlmaninc,Yjzcn47X
25,Slovenia,Rippin Group,Vitomarci,6304351507978820,Clinical Specialist,720-396-5642,rippingroup,MQy2pjeZ
26,Slovenia,"Bruen, Kling and Schmeler",Limbuš,4917794322073091,Food Chemist,546-414-4417,bruenklingandschmeler,b8T29AC2
27,Slovenia,Durgan Inc,Kostel,5.01873597404085E+018,Data Coordiator,673-443-4234,durganinc,3ucug8nL
28,Slovenia,Eichmann-Baumbach,Lovrenc na Pohorju,3556050653915196,Project Manager,842-498-3500,eichmannbaumbach,mfMsTFfW
29,Slovenia,"Corwin, Mante and VonRueden",Zasip,3571721049556222,Assistant Media Planner,615-784-8313,corwinmanteandvonrueden,Gn9zddgM
30,Slovenia,"Cartwright, Bailey and Kris",Spodnja Hajdina,3534190405189984,Account Representative IV,668-861-3053,cartwrightbaileyandkris,KgYSMsy2
31,Slovenia,"Mosciski, Mante and Carroll",Komenda,4017955412929,Account Executive,694-841-1453,mosciskimanteandcarroll,j3GvFnhF
32,Slovenia,"Kuhic, Wilderman and Langworth",Lipovci,3564973713983146,Electrical Engineer,285-350-4192,kuhicwildermanandlangworth,n9zbD6KL
33,Slovenia,Haag-Ebert,Vuzenica,3572995968609647,Senior Quality Engineer,617-830-9071,haagebert,zZHhDyXL
34,Slovenia,Bogan and Sons,Šmartno pri Litiji,6.76370586599414E+016,Biostatistician IV,690-675-1818,boganandsons,XLGqehAc
35,Slovenia,Cassin-Herman,Ribnica na Pohorju,3563806364165921,Sales Associate,325-227-0869,cassinherman,JK3fhUEZ
36,Slovenia,"Ortiz, Kohler and Abernathy",Železniki,6.76278439542805E+017,Editor,802-607-6029,ortizkohlerandabernathy,zytqjxya
