ID,Ime,Priimek,Spol,Datum rojstva,Država,Kraj,Postna_stevilka,IBAN,Uporabnisko_ime,Geslo
1,Merwyn,Jeayes,Male,5/29/1993,Slovenia,Koroška Bela,4274,VG66 YLLC 6563 3145 4156 2029,mjeayes0,KaatHhsP2OAq
2,Orlando,Wotherspoon,Male,7/8/1999,Slovenia,Vitanje,3205,IL42 4240 1038 7995 6932 105,owotherspoon1,L4YKqLB
3,Araldo,Donaghy,Male,8/21/1997,Slovenia,Lenart v Slov. Goricah,2235,FR61 6473 8934 03KH 0NEL PE7A X01,adonaghy2,1WPjS2f
4,Glori,Akroyd,Female,8/17/1997,Slovenia,Ljubno ob Savinji,3333,DO46 PEKL 8609 1235 1734 4535 7158,gakroyd3,KM42M0teEDY
5,Port,Sherwell,Male,5/20/1993,Slovenia,Šentrupert,8232,IL94 5664 6098 9693 7781 293,psherwell4,BrmeeMOfN
6,Dorry,Pryell,Female,9/30/1995,Slovenia,Nazarje,3331,FR84 4098 0286 08RZ A45I R6AD W07,dpryell5,LdpIhCi594
7,Berna,McCurtin,Female,5/9/1995,Slovenia,Bakovci,9241,MD75 UPCJ J0FX WGKY EVZH URK5,bmccurtin6,4Ez6sQ9Kk
8,Clementina,Crosi,Female,1/4/2000,Slovenia,Laško,3270,FR25 5319 1083 123B BG5N XD2Z V44,ccrosi7,8Y1M42IXUw
9,Storm,Ashwin,Female,2/2/1998,Slovenia,Destrnik,2253,RS63 0720 9367 8819 1146 40,sashwin8,iRr2x3Z40T
10,Duane,Frostdick,Male,8/1/1996,Slovenia,Lovrenc na Pohorju,2344,LI98 8244 3RUW GFVF HBY9 2,dfrostdick9,SyIb6Z6
11,Prissie,Vedishchev,Female,8/1/1998,Slovenia,Leskovec pri Krškem,8273,HR90 7594 5089 3889 2877 1,pvedishcheva,xKVIA2JyVm
12,Madlen,Toombs,Female,7/4/1997,Slovenia,Ljutomer,9240,GI06 SWAV XQLT PWYK DBIN KSC,mtoombsb,2wHzTu0YVwgm
13,Carny,Ofer,Male,10/14/1994,Slovenia,Šentvid pri Stični,1296,FR45 6285 1337 68R9 O72V ARNQ M29,coferc,oGITlfvdZT
